Upregulated,Downregulated
aceK,ampD
arcC,apbA
astA,cadC
atpG,chaB
cbiJ,csgA
cbiP,cyaA
cbiT,cyaY
ccmD1,dbh
ccmF1,dfp
cirA,dnaQ
citG2,ecnR
cstA,envE
dhaB,exo
dsbB,fadR
entA,fimY
entC,folP
entE,fpr
entF,FQ312003_intergenic_1_118
fadA,FQ312003_intergenic_1066156_1066470
fadJ,FQ312003_intergenic_112962_113034
fdnH,FQ312003_intergenic_1192338_1192508
fdnI,FQ312003_intergenic_1289712_1290847
FQ312003_intergenic_1159940_1159971,FQ312003_intergenic_1498890_1498988
FQ312003_intergenic_1214283_1214338,FQ312003_intergenic_1583298_1583367
FQ312003_intergenic_1287948_1287978,FQ312003_intergenic_1643429_1643636
FQ312003_intergenic_1908958_1909080,FQ312003_intergenic_1712030_1712079
FQ312003_intergenic_2003863_2003891,FQ312003_intergenic_1799555_1799930
FQ312003_intergenic_2352511_2352525,FQ312003_intergenic_189404_189548
FQ312003_intergenic_3497969_3498016,FQ312003_intergenic_1915822_1916206
FQ312003_intergenic_3657672_3657715,FQ312003_intergenic_1983117_1983649
FQ312003_intergenic_3889221_3889237,FQ312003_intergenic_1984308_1984757
FQ312003_intergenic_4197221_4197259,FQ312003_intergenic_1996522_1996884
FQ312003_intergenic_4697342_4697421,FQ312003_intergenic_2006764_2006919
FQ312003_intergenic_590568_590797,FQ312003_intergenic_2090527_2090621
FQ312003_intergenic_660631_660711,FQ312003_intergenic_2288879_2289107
FQ312003_intergenic_893935_893952,FQ312003_intergenic_2619169_2619608
FQ312003.1509,FQ312003_intergenic_2656172_2656362
FQ312003.2779,FQ312003_intergenic_2692702_2692925
fruA,FQ312003_intergenic_2806991_2807021
gabD,FQ312003_intergenic_2938041_2938902
gltL,FQ312003_intergenic_2970253_2970850
hofB,FQ312003_intergenic_2983251_2983646
hyaF2,FQ312003_intergenic_2996628_2996762
hycC,FQ312003_intergenic_3040147_3040361
iroD,FQ312003_intergenic_3041392_3042381
iroN,FQ312003_intergenic_3121896_3122022
kefC,FQ312003_intergenic_3266609_3267749
lamB,FQ312003_intergenic_3536137_3536222
lctD,FQ312003_intergenic_3536728_3536783
leuC2,FQ312003_intergenic_3624242_3624266
lysA,FQ312003_intergenic_3681898_3682022
lyxK,FQ312003_intergenic_3782662_3782885
murD,FQ312003_intergenic_3850561_3850616
murF,FQ312003_intergenic_3864126_3864163
napA,FQ312003_intergenic_408186_408201
narI,FQ312003_intergenic_4330937_4331100
narJ,FQ312003_intergenic_4523161_4523622
narY,FQ312003_intergenic_4655183_4655377
ninG,FQ312003_intergenic_4761868_4761904
nrfE,FQ312003_intergenic_4874025_4874262
nuoM,FQ312003_intergenic_603107_603567
pduB,FQ312003_intergenic_695366_695470
pduD,FQ312003_intergenic_822759_822977
pduG,FQ312003.2802
pduO,gcvR
pduP,gidB
pduW,gsp
pepB,gtrA
phoR,hexR
proX,hilA
pSLT1344_intergenic_59736_59823,hscB
recC,hyb0
sapC,invB
sciK,iolT1
sdaC,ldcC
secF,leuD2
sgaU,lplA
SL0042,marT
SL0083A,miaE
SL0347,mntH
SL0746,modE
SL0988,msgA
SL1207,nadR
SL1715,narP
SL1886,narQ
SL1916,nikR
SL1932,nrdA
SL1935,pepT
SL1937,pgsA
SL1947,pgtC
SL1964,prgI
SL2212,pSLT1344_intergenic_73797_74371
SL2257,pSLT1344_intergenic_85345_85675
SL2258,pspA
SL2555,pspE
SL2560,pyrC
SL2561,repA3
SL2736,rhaR
SL2889,rsD
SL2917,sanA
SL3149,sbcD
SL3715,siiA
SL4060,SL0018
SLP1_0045,SL0039
srfJ,SL0409
ssaT,SL0472
thdF,SL0490
tlpA,SL0494
traK,SL0642
truB,SL0858
uhpT,SL0938
yaeT,SL0958
ybiW,SL1020
ybiY,SL1066
yrfC,SL1073
ytfE,SL1202
,SL1227
,SL1244
,SL1280
,SL1309
,SL1344_1330A
,SL1412
,SL1440
,SL1522
,SL1527
,SL1535
,SL1542
,SL1543
,SL1559
,SL1588
,SL1627
,SL1649
,SL1661
,SL1664
,SL1696
,SL1709
,SL1740
,SL1864
,SL2163
,SL2208
,SL2264
,SL2328
,SL2330
,SL2391
,SL2577
,SL2582
,SL2584
,SL2614
,SL2726
,SL2884
,SL2998
,SL3037
,SL3043
,SL3086
,SL3112
,SL3127
,SL3129
,SL3138
,SL3224
,SL3242
,SL3312
,SL3360
,SL3477
,SL3500
,SL3602
,SL3717
,SL3866
,SL3959
,SL4017
,SL4187
,SL4188
,SL4206
,SL4448
,stcC
,tap
,torT
,trg
,trmU
,tus
,ubiA
,xseB
,ybaO
,ybgR
,ybhA
,ybjC
,yccF
,yeeA
,yejM
,yfeA
,ygdD
,yhcP
,yheR
,yhjA
,yhjD
,yibK
,yjbO
,yjeB
,yojN
