Upregulated,Downregulated
aceF,acrD
acs,ampH
aldB,ansB
asr,artM
atpA,asd
atpD,barA
atpF,bax
atpH,btuB
cbiE,cap
ccmE1,cigR
cib,clcB
cysJ,clpP
deoA,coaE
deoC,cspD
dgoA,cyoA
dppD,cysQ
eno,dapF
eutL,degQ
fes,dmsC
FQ312003_intergenic_1316682_1317221,dsbG
FQ312003_intergenic_1366289_1366360,efp
FQ312003_intergenic_1440240_1440459,emrD
FQ312003_intergenic_1650035_1650207,erfK
FQ312003_intergenic_1679888_1680693,fhlA
FQ312003_intergenic_1839813_1839870,flgN
FQ312003_intergenic_1922869_1923024,fmt
FQ312003_intergenic_2796699_2802478,FQ312003_intergenic_1492668_1493182
FQ312003_intergenic_2855115_2855565,FQ312003_intergenic_1611552_1611936
FQ312003_intergenic_288852_295009,FQ312003_intergenic_1834399_1834563
FQ312003_intergenic_2948396_2949327,FQ312003_intergenic_1978572_1978652
FQ312003_intergenic_3197202_3197213,FQ312003_intergenic_3156702_3156947
FQ312003_intergenic_3434167_3435864,FQ312003_intergenic_3157276_3157367
FQ312003_intergenic_3587314_3593913,FQ312003_intergenic_3237453_3237806
FQ312003_intergenic_3787358_3787438,FQ312003_intergenic_3259110_3259329
FQ312003_intergenic_412054_412098,FQ312003_intergenic_3778136_3778340
FQ312003_intergenic_4121009_4127039,FQ312003_intergenic_3969653_3970250
FQ312003_intergenic_4217277_4223071,FQ312003.1526
FQ312003_intergenic_4293634_4293717,ftnA
FQ312003_intergenic_4372239_4377952,gipA
FQ312003_intergenic_4415433_4421485,glpB
FQ312003_intergenic_4583972_4584118,glpE
FQ312003_intergenic_4737505_4737545,grxB
FQ312003_intergenic_4842841_4842863,htrB
FQ312003_intergenic_982212_982573,hybB
FQ312003.4499,hypB
fruK,invA
gabT,ispA
groEL,metA
groES,moaA
hflK,mod
hisB,motA
hisI,motB
htrA,nagD
hyaD2,nhaB
infB,nrfA
leuL,opdB
lspA,orgAa
manZ,pgtP
nanT,pitA
narG,plsC
ompH,potA
pagC,prgK
pduS,proP
pez,pSLT1344_intergenic_75774_76166
phnX,repC
phoN,rhlB
phoP,rtn
pipB,sbcB
prlA,seqA
pSLT1344_intergenic_56363_56468,siiE
pSLT1344_intergenic_65700_65996,SL0286
pSLT1344_intergenic_69738_69829,SL0459
radA,SL0570
rhaB,SL0630
ribD,SL0713
rnhB,SL0783
rplB,SL0801
rplD,SL0926
rplF,SL0956
rplO,SL1008
rplP,SL1009
rplV,SL1071
rplW,SL1190
rpmC,SL1201
rpoC,SL1221
rpsC,SL1257
rpsS,SL1411
SL0301,SL1479
SL0348,SL1484
SL0358,SL1520
SL0698,SL1573
SL1299,SL1592
SL1305,SL1640
SL1324,SL1672
SL1345,SL2373
SL1477,SL2409
SL1528,SL2535
SL1529,SL2696
SL1563,SL2772
SL1610,SL2804
SL1628,SL2898
SL1783,SL2966
SL1941,SL2990
SL2115,SL3000
SL2256,SL3207
SL2430,SL3225
SL2431,SL3245
SL2432,SL3246
SL2548,SL3247
SL2763,SL3270
SL2944,SL3329
SL3092,SL3351
SL3093,SL3378
SL3101,SL3499
SL3107,SL3542
SL4146,SL3548
SL4256,SL3550
SL4377,SL3557
SL4471,SL3563
SLP1_0061,SL3617
SLP2_0054A,SL3724
sodCI,SL3857
sopD2,SL3993
spiA,SL4465
spiC,SL4481
spvA,SL4523
spvB,SLP1_0073
spvC,slyX
spvR,solA
ssaD,srmB
ssaI,suhB
ssaJ,tag
ssaL,ubiE
ssaN,xseA
ssaV,yadA
sscB,ybdG
sseA,ybeZ
sseB,yceE
sseC,yciA
sseD,yedJ
sseE,yehY
sseF,yhhP
sseI,yhjK
sseJ,ylaB
sspH2,yrdA
stdB,
tcuA,
thrB,
traU,
ttrR,
tuf,
udg,
uhpB,
uhpC,
virK,
wcaC,
wza,
yejB,
yhjL,
yohG,
