Gene Name,Product Annotation,BaseMean,BaseMeanA,BaseMeanB,Fold Change,log2 Fold-Change,P-value,FDR,Effect
aat,leucyl/phenylalanyl-tRNA-protein transferase,25.26644457,10.16927683,35.33122306,3.474310282,1.796726603,0.006053475,0.051751272,Upregulated
aceA,isocitrate lyase,57.93079282,12.53465267,88.19488625,7.036085368,2.814772987,0.009103823,0.071133814,Upregulated
ackA,acetate kinase,189.7617468,397.755577,51.0991934,0.128468829,-2.960509735,5.23E-09,3.00E-07,Downregulated
acrR,potential acrAB operon repressor,119.7053155,277.8526326,14.27377076,0.051371731,-4.282881496,0.014206735,0.099561703,Downregulated
ada,ADA regulatory protein,41.61228841,11.95369135,61.38468645,5.13520758,2.360422596,0.014020828,0.098717444,Upregulated
adh,alcohol dehydrogenase,354.1171001,608.0542511,184.8256661,0.30396246,-1.718034935,2.51E-12,3.09E-10,Downregulated
adiY,putative AraC family regulatory protein,107.8112124,200.0374543,46.32705122,0.231591886,-2.11034339,5.39E-09,3.07E-07,Downregulated
araD,L-ribulose-5-phosphate 4-epimerase,12.15995861,3.695831009,17.80271034,4.816970877,2.268126202,3.27E-06,8.82E-05,Upregulated
arcA,global response regulator,412.1002667,922.7975989,71.63537852,0.077628484,-3.687270079,3.05E-19,1.17E-16,Downregulated
argR,arginine repressor,50.35254648,118.3525486,5.019211744,0.042408987,-4.559486153,2.61E-06,7.34E-05,Downregulated
artI,arginine-binding periplasmic protein 1 precursor,116.4377874,247.8792602,28.81013882,0.1162265,-3.104989051,1.28E-09,8.40E-08,Downregulated
artJ,arginine-binding periplasmic protein 2 precursor,119.5583749,282.7205979,10.78355957,0.038142108,-4.712471611,1.61E-16,3.76E-14,Downregulated
artP,arginine transport ATP-binding protein ArtP,143.8873203,284.5811106,50.09146002,0.176018218,-2.506203337,0.000230928,0.003448101,Downregulated
asnS,asparaginyl-tRNA synthetase,122.6654865,243.5261604,42.09170394,0.172842638,-2.532468941,0.00011389,0.001900109,Downregulated
aspA,aspartate ammonia-lyase,739.3728678,1676.41133,114.6805597,0.068408366,-3.869683421,4.95E-09,2.90E-07,Downregulated
astD,succinylglutamic semialdehyde dehydrogenase,56.0389479,4.359034457,90.49222353,20.75969448,4.375713306,0.0055722,0.048589581,Upregulated
astE,Succinylglutamate desuccinylase,18.87308291,4.303302419,28.58626991,6.642867995,2.731806246,1.07E-11,1.08E-09,Upregulated
atpI,ATP synthase protein I.,89.14320602,200.6915589,14.77763745,0.073633577,-3.763492393,1.39E-08,6.98E-07,Downregulated
bcfG,fimbrial chaperone,15.23444292,5.735428582,21.56711915,3.760332613,1.910860278,1.30E-06,4.25E-05,Upregulated
blc,putative lipoprotein,27.83760275,52.31836386,11.51709533,0.220134853,-2.183540516,0.013523667,0.096163523,Downregulated
caiA,probable carnitine operon oxidoreductase CaiA,19.29086171,3.112341146,30.07654208,9.663639258,3.2725666,1.01E-11,1.07E-09,Upregulated
cbiC,precorrin-8X methylmutase,21.17027437,2.946160352,33.31968371,11.30952825,3.499466846,4.96E-11,4.32E-09,Upregulated
cbiK,sirohydrochlorin cobaltochelatase (ec 4.99.1.3),23.00006213,5.974228728,34.35061774,5.749799564,2.523511665,4.16E-12,4.69E-10,Upregulated
cbiQ,putative cobalt transport protein,14.00486683,4.190488919,20.54778544,4.903433905,2.293792431,6.18E-05,0.001115701,Upregulated
cbpA,curved DNA-binding protein,119.9171176,255.4424812,29.56687523,0.115747683,-3.110944786,1.56E-11,1.50E-09,Downregulated
ccmE2,protoheme transport protein,24.7836086,1.039473353,40.6130321,39.07077751,5.28801806,0.00380232,0.036249524,Upregulated
ccmF2,cytochrome C-type biogenesis protein,87.56469222,1.902802526,144.6726187,76.03133624,6.248522241,0.001539999,0.016927051,Upregulated
ccmH1,cytochrome c-type biogenesis protein H1,54.88948854,2.95629404,89.51161821,30.27832042,4.920213274,0.010645774,0.07911746,Upregulated
cII,bacteriophage regulatory protein,4.806958323,0.724169383,7.528817616,10.39648706,3.378024224,3.82E-06,0.000101252,Upregulated
citD,citrate lyase acyl carrier protein,19.07355018,1.048762026,31.09007562,29.64454743,4.889694867,0.00326081,0.031781963,Upregulated
citE,citrate lyase beta chain,40.62184815,2.63778031,65.94456005,25.00001982,4.643857334,0.007397204,0.060171283,Upregulated
citX,apo-citrate lyase phosphoribosyl-dephospho-coa transferase (ec 2.7.7.61) (holo-acp synthase) (holo-citrate lyase synthase) (apo- acp nucleodityltransferase),23.02513115,0.390288066,38.11502655,97.65870348,6.60967672,0.010696033,0.079400741,Upregulated
citX2,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,9.350217245,0.435886415,15.29310447,35.08506787,5.132785248,9.04E-11,7.21E-09,Upregulated
cobU,cobinamide kinase and guanylyltransferase,17.11360046,4.450905867,25.55539686,5.741617016,2.521457101,2.90E-06,8.00E-05,Upregulated
creB,putative two-component response regulator,27.4910132,12.31949346,37.6053597,3.052508596,1.609995358,2.10E-07,8.03E-06,Upregulated
creC,two-component sensor kinase,39.10725905,6.026921309,61.16081754,10.14793696,3.343114558,0.005015864,0.044691756,Upregulated
crl,curlin genes transcriptional activator,47.21475938,97.76134692,13.51703435,0.138265631,-2.854485504,6.04E-06,0.000150225,Downregulated
crr,"pts system, glucose-specific IIA component",89.09307224,161.1415257,41.06076992,0.254811848,-1.972495736,0.004430403,0.040467644,Downregulated
csiD,Protein csiD.,34.82126073,12.26916563,49.85599079,4.063519257,2.022729731,1.07E-07,4.48E-06,Upregulated
cspC,cold shock-like protein CspC,117.6711046,222.0578805,48.07992068,0.216519768,-2.20742935,1.85E-05,0.000381027,Downregulated
cybC,soluble cytochrome b562,29.30150697,67.60715421,3.764408808,0.055680628,-4.166680705,0.001744606,0.018842107,Downregulated
cysN,Sulfate adenylyltransferase subunit 1,47.25735163,17.04922332,67.39610383,3.953030737,1.982959173,0.013274061,0.095084731,Upregulated
