Gene Name,Product Annotation,BaseMean,BaseMeanA,BaseMeanB,Fold Change,log2 Fold-Change,P-value,FDR,Effect
aceF,dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase,256.4848984,44.09622269,398.0773489,9.027470488,3.174321799,7.01E-15,1.52E-12,Upregulated
acrD,putative efflux pump,42.28604204,86.2823187,12.95519093,0.15014885,-2.735534669,0.000920341,0.011552055,Downregulated
acrR,potential acrAB operon repressor,135.2756604,284.4983554,35.79386378,0.125813957,-2.990636123,0.000313396,0.004813028,Downregulated
acs,acetyl-coenzyme A synthetase,196.5840427,80.31881531,274.0941944,3.412577654,1.770861875,0.008475424,0.068634109,Upregulated
aldB,aldehyde dehydrogenase B,211.6332006,92.55715038,291.0172341,3.144189648,1.652688239,0.012041438,0.088907766,Upregulated
amiA,probable N-acetylmuramoyl-L-alanine amidase,37.78725249,72.76744558,14.46712376,0.198813132,-2.330515042,0.01391846,0.098211665,Downregulated
ampH,penicillin-binding protein AmpH,35.45963863,82.37043477,4.185774541,0.050816468,-4.298560093,9.35E-05,0.001704439,Downregulated
ansB,L-asparaginase,52.04324828,104.5971789,17.00729451,0.162598023,-2.620618379,0.010893069,0.082354455,Downregulated
arcA,global response regulator,496.4776626,942.817461,198.917797,0.210982301,-2.244806119,0.000160377,0.002704852,Downregulated
argC,N-acetyl-gamma-glutamyl-phosphate reductase,35.32129397,75.54776404,8.503647254,0.11255988,-3.151235399,0.001798276,0.019609541,Downregulated
artJ,arginine-binding periplasmic protein 2 precursor,124.8648594,288.5922174,15.71328745,0.054448064,-4.198975444,1.28E-14,2.62E-12,Downregulated
artM,arginine transport system permease protein ArtM,10.89793941,24.10551761,2.092887271,0.086821918,-3.525796898,0.002117855,0.022476808,Downregulated
artP,arginine transport ATP-binding protein ArtP,122.909563,291.1785992,10.73020549,0.036850941,-4.762154715,2.29E-06,7.62E-05,Downregulated
asd,aspartate-semialdehyde dehydrogenase,90.15836561,152.5446035,48.56754037,0.318382553,-1.651166813,0.002593712,0.026410542,Downregulated
aspA,aspartate ammonia-lyase,878.1519972,1710.862355,323.0117587,0.188800553,-2.405065105,7.29E-07,2.88E-05,Downregulated
asr,putative secreted stress response protein,667.8525942,16.23596856,1102.263678,67.89023235,6.085132118,6.26E-10,5.84E-08,Upregulated
asrA,anaerobic sulfite reductase subunit A,29.38879717,63.85585295,6.410759984,0.100394242,-3.316251561,0.002773365,0.02755214,Downregulated
astB,succinylarginine dihydrolase,15.20181908,3.42200897,23.05502581,6.737278019,2.752165835,5.55E-06,0.000167008,Upregulated
astE,Succinylglutamate desuccinylase,11.88193597,4.392045412,16.87519634,3.842218091,1.941939411,0.005119973,0.045715548,Upregulated
atpA,ATP synthase alpha subunit,364.1000163,109.374917,533.9167492,4.881528268,2.287332885,0.000245443,0.003841744,Upregulated
atpD,ATP synthase beta subunit,319.7861483,75.2423769,482.8153293,6.4168006,2.681854153,0.009135525,0.072101052,Upregulated
atpF,ATP synthase subunit B,209.1560334,71.28860435,301.0676528,4.223222709,2.078344329,3.28E-05,0.000710821,Upregulated
atpH,ATP synthase delta subunit,120.5263898,54.71328962,164.40179,3.004787158,1.587262802,0.001586734,0.017768542,Upregulated
atpI,ATP synthase protein I.,113.8092353,204.5216841,53.33426936,0.260775622,-1.939119087,0.001874184,0.020252982,Downregulated
barA,sensor protein,35.65414545,79.51922365,6.410759984,0.080618996,-3.632736371,3.96E-05,0.000831672,Downregulated
bax,putative exported amidase,122.9509763,235.9225978,47.63656199,0.201916062,-2.308172413,0.007631271,0.063940058,Downregulated
bioD,dethiobiotin synthetase,8.343538464,1.225553308,13.0888619,10.6799613,3.416834515,3.56E-05,0.00076451,Upregulated
btuB,vitamin B12 receptor protein,31.18055471,55.77792319,14.78230907,0.265020786,-1.915822576,0.012314845,0.090415062,Downregulated
caiF,transcriptional activator CaiF,75.19311307,178.56479,6.278661812,0.035161813,-4.829846716,0.001105001,0.013282396,Downregulated
cap,"cyclic AMP receptor protein,catabolite gene activator",151.0636956,261.2606679,77.59904743,0.297017718,-1.751379099,0.001673292,0.018448614,Downregulated
carA,carbamoyl-phosphate synthase small chain,91.10868825,191.4463186,24.2169347,0.126494648,-2.982851748,0.000221752,0.00352182,Downregulated
cbiE,"precorrin-6Y C5,15-methyltransferase [decarboxylating]",6.793153275,1.088081401,10.59653453,9.73873326,3.28373413,0.002709465,0.027115704,Upregulated
cbiH,precorrin-3 C17-methyltransferase,8.977467879,2.810376846,13.0888619,4.657333382,2.219504157,0.002712813,0.027115704,Upregulated
cbpA,curved DNA-binding protein,133.9957779,260.7440259,49.49694596,0.189829645,-2.397222782,8.59E-08,4.31E-06,Downregulated
ccmE1,protoheme transport protein E1,8.849225346,1.420191591,13.80191452,9.718346883,3.280710928,0.000785882,0.010238431,Upregulated
cib,colicin Ib protein,249.326263,82.62638863,360.4595126,4.362522901,2.125162705,0.002890112,0.028452123,Upregulated
cigR,putative inner membrane protein,19.83774039,43.31568917,4.185774541,0.096634144,-3.371323161,9.28E-06,0.000254548,Downregulated
citE,citrate lyase beta chain,15.44668842,2.692331887,23.94959277,8.895483088,3.153072956,4.59E-05,0.000932513,Upregulated
clcB,Voltage-gated ClC-type chloride channel clcB. Putative chloride channel protein clcB-like.,31.00674484,63.36492365,9.434625636,0.148893506,-2.747647263,0.008328699,0.067782319,Downregulated
clpP,ATP-dependent clp protease proteolytic subunit,155.9277782,269.4296189,80.25988441,0.297888126,-1.747157475,2.92E-07,1.29E-05,Downregulated
coaE,Dephospho-CoA kinase,29.79812635,67.41934664,4.717312818,0.06996972,-3.837125468,0.001006291,0.012322816,Downregulated
crl,curlin genes transcriptional activator,50.21018447,99.81401296,17.14096548,0.171729049,-2.541793998,0.000758408,0.009920101,Downregulated
csiD,Protein csiD.,39.84014224,12.52534154,58.05000938,4.63460491,2.212446357,0.000109229,0.001953261,Upregulated
csiE,stationary phase inducible protein CsiE,62.61532329,110.5967662,30.62769469,0.276931196,-1.852400516,0.003897036,0.036130621,Downregulated
cspD,cold shock-like protein CspD,527.6514726,1131.571764,125.0379448,0.11049935,-3.177890208,2.40E-12,3.65E-10,Downregulated
cybC,soluble cytochrome b562,31.54721161,69.0513826,6.54443095,0.094776248,-3.399330644,0.002267082,0.023788392,Downregulated
cydD,transport ATP-binding protein CydD,47.31312558,91.57355187,17.80617472,0.194446697,-2.362553364,0.012907866,0.093299716,Downregulated
cyoA,cytochrome o ubiquinol oxidase subunit II,297.8509954,499.0202583,163.7381535,0.328119251,-1.607707853,0.002605725,0.026491541,Downregulated
cysB,cys regulon transcriptional activator,70.35335942,149.1741365,17.80617472,0.119365026,-3.066547903,5.61E-05,0.001103655,Downregulated
cysJ,sulfite reductase (NADPH) flavoprotein beta subunit,12.81793863,5.137437235,17.93827289,3.491677284,1.803920225,0.01155029,0.086060209,Upregulated
cysQ,cysQ protein,59.11519997,109.1946986,25.72886753,0.235623779,-2.085442953,0,0,Downregulated
dapF,diaminopimelate epimerase,37.77957252,64.99899203,19.63329285,0.302055343,-1.727115187,0.000194884,0.003187988,Downregulated
dctA,C4-dicarboxylate transport protein,84.80510897,168.4108947,29.06791849,0.172601176,-2.5344858,0.00034411,0.005211151,Downregulated
dcuA,anaerobic C4-dicarboxylate transporter,140.0604833,324.2392537,17.27463644,0.053277437,-4.230331506,7.04E-12,9.58E-10,Downregulated
ddl,D-alanine--D-alanine ligase,53.62521504,20.00413076,76.03927123,3.801178475,1.926446765,0.004854815,0.043646524,Upregulated
degQ,serine protease,66.35595298,111.1295079,36.50691639,0.328507856,-1.606000222,0.012437681,0.090741793,Downregulated
deoA,thymidine phosphorylase,65.45470675,25.41112789,92.15042599,3.626380788,1.858530423,1.50E-05,0.000378356,Upregulated
deoC,deoxyribose-phosphate aldolase,83.89664065,17.62701973,128.0763879,7.265912782,2.861144048,0.004075419,0.037624127,Upregulated
dgoA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase (ec 4.1.2.21) (6- phospho-2-dehydro-3-deoxygalactonate aldolase) (2-oxo-3- deoxygalactonate 6-phosphate aldolase),7.164664497,1.219552041,11.1280728,9.124721563,3.189780536,0.003812501,0.035447571,Upregulated
dmsA,anaerobic dimethyl sulfoxide reductase chain A precursor,238.8823171,559.0135044,25.4615256,0.045547246,-4.456492366,0.000756197,0.009911039,Downregulated
dmsB,anaerobic dimethyl sulfoxide reductase chain B,27.72996806,64.51685017,3.205379992,0.049682835,-4.331108704,4.65E-08,2.52E-06,Downregulated
dmsC,anaerobic dimethyl sulfoxide reductase chain C,24.57600053,42.60401589,12.55732362,0.294745069,-1.762460415,0.007654252,0.064050386,Downregulated
dppA,periplasmic dipeptide transport protein precursor,174.6065984,366.4058626,46.74042224,0.127564613,-2.970699915,1.54E-08,1.01E-06,Downregulated
dppD,dipeptide transport ATP-binding protein DppD,18.03161921,6.686253171,25.59519656,3.828032817,1.936603198,0.001193515,0.01405392,Upregulated
dps,DNA protection during starvation protein,1698.523992,2905.313444,893.9976904,0.30771127,-1.70035081,2.35E-09,1.92E-07,Downregulated
dsbG,thiol:disulfide interchange protein DsbG precursor,24.70569459,45.86943468,10.59653453,0.231015154,-2.113940602,0.000559048,0.007813498,Downregulated
dut,deoxyuridine 5'-triphosphate nucleotidohydrolase,40.09290128,71.65610478,19.05076561,0.265863818,-1.911240643,1.34E-05,0.000345203,Downregulated
eco,Ecotin precursor.,74.17327055,165.0025761,13.62040018,0.082546591,-3.598647552,1.75E-06,6.15E-05,Downregulated
efp,elongation factor P,87.27693955,166.3684396,34.54927288,0.207667229,-2.267654524,3.92E-08,2.20E-06,Downregulated
emrD,multidrug resistance protein D,48.48920419,108.0688859,8.769416393,0.081146542,-3.623326572,7.06E-05,0.001359013,Downregulated
emrR,putative transcriptional regulator,82.01123192,191.6734488,8.903087359,0.046449247,-4.428200982,3.75E-08,2.17E-06,Downregulated
eno,Enolase,232.2012703,94.24503366,324.1720948,3.439672969,1.782271406,0.005301398,0.046950102,Upregulated
erfK,putative exported protein,117.014133,256.2099305,24.2169347,0.094519891,-3.403238224,2.65E-11,3.39E-09,Downregulated
eutA,putative ethanolamine utilization protein EutA,12.02022761,3.940467116,17.40673461,4.417429229,2.143207022,0.002899874,0.02850524,Upregulated
eutC,Ethanolamine ammonia-lyase light chain,19.26226606,1.815469423,30.89346382,17.01679104,4.0888871,1.32E-10,1.46E-08,Upregulated
eutE,putative aldehyde dehydrogenase,22.87542518,2.029534655,36.77268553,18.11877686,4.179413662,0.000834834,0.010747458,Upregulated
eutJ,putative ethanolamine utilization protein EutJ,14.09218715,1.172965052,22.70500188,19.35692956,4.274778222,9.00E-09,6.38E-07,Upregulated
eutL,ethanolamine utilization protein EutL,37.58780802,4.824753994,59.42984404,12.31769415,3.622660306,0.000583886,0.008091349,Upregulated
eutM,ethanolamine utilization protein,33.98101322,1.339020147,55.74234193,41.62920332,5.379524044,0.007281484,0.061642345,Upregulated
