Gene Name,Product Annotation,BaseMean,BaseMeanA,BaseMeanB,Fold Change,log2 Fold-Change,P-value,FDR,Effect
acrD,putative efflux pump,10.21788463,1.35957407,19.07619519,14.03100839,3.810546792,0.000460134,0.021639927,Upregulated
ada,ADA regulatory protein,6.180662852,3.078331883,9.282993821,3.015592267,1.592441378,0.000185336,0.011932663,Upregulated
adiY,putative AraC family regulatory protein,3.760499404,0.604103079,6.91689573,11.44986009,3.517258065,0.003542071,0.087848875,Upregulated
amtB,probable ammonium transporter,6.591948514,0.879677785,12.30421924,13.98718877,3.806034125,0.000244666,0.014285074,Upregulated
apaH,bis(5'-nucleosyl)-tetraphosphatase,5.213013723,2.39411402,8.031913425,3.354858356,1.746251856,0.001539536,0.050813991,Upregulated
artP,arginine transport ATP-binding protein ArtP,4.276181112,1.043941971,7.508420253,7.192373197,2.846467881,0.000293208,0.016111259,Upregulated
asd,aspartate-semialdehyde dehydrogenase,10.66726193,4.878285212,16.45623866,3.373365423,1.754188608,0.002785522,0.074915256,Upregulated
astD,succinylglutamic semialdehyde dehydrogenase,8.073802409,2.000780656,14.14682416,7.070652209,2.821843298,0.000499831,0.02259519,Upregulated
atpD,ATP synthase beta subunit,31.42328584,48.94848488,13.89808681,0.283932932,-1.816377907,0.000175514,0.011653391,Downregulated
cadC,transcriptional activator cadC,4.862864156,1.759355571,7.966372742,4.528006092,2.178875899,0.003707468,0.090541768,Upregulated
cbiC,precorrin-8X methylmutase,3.132586076,1.195309884,5.069862268,4.241462682,2.084561869,0.002371378,0.065718097,Upregulated
cbiO,putative cobalt transport ATP-binding protein,3.256178685,0.718367485,5.793989886,8.065495739,3.01176321,4.93E-05,0.004981137,Upregulated
ccmE2,protoheme transport protein,3.272031853,0.359183742,6.184879963,17.21926478,4.105951639,0.001056447,0.037203292,Upregulated
ccmH1,cytochrome c-type biogenesis protein H1,7.211566058,0.4769424,13.94618972,29.24082599,4.86991216,0.001570498,0.050813991,Upregulated
citA,sensor kinase DpiB,3.069164595,0.4769424,5.661386791,11.8701688,3.569268545,2.29E-05,0.002866383,Upregulated
citC,citrate-sodium symporter,3.164664184,0.402735386,5.926592982,14.71584865,3.879298839,0.000323243,0.017313846,Upregulated
clcA,putative membrane protein,9.448683179,2.316412755,16.5809536,7.158030697,2.839562731,0.00179908,0.055397748,Upregulated
cls,Cardiolipin synthetase,4.690073953,0.953884799,8.426263107,8.833627617,3.143006017,0.004592406,0.099904428,Upregulated
coaE,Dephospho-CoA kinase,2.741116461,0.4769424,5.005290522,10.49453881,3.391566862,0.003110438,0.080396956,Upregulated
codB,cytosine permease,4.448397076,0.604103079,8.292691074,13.72727829,3.778973705,0.000557582,0.024353847,Upregulated
corB,putative membrane protein,3.721022767,1.12110287,6.320942664,5.638146892,2.495221065,0.000322008,0.017313846,Upregulated
csiE,stationary phase inducible protein CsiE,6.798296362,3.19609054,10.40050218,3.254132526,1.702273007,0.001562196,0.050813991,Upregulated
cspC,cold shock-like protein CspC,13.6244161,20.33096752,6.917864668,0.340262442,-1.555280177,0.001561887,0.050813991,Downregulated
cysN,Sulfate adenylyltransferase subunit 1,6.703557792,2.874010305,10.53310528,3.664950422,1.873793682,0.004519303,0.099593195,Upregulated
dcuA,anaerobic C4-dicarboxylate transporter,6.242214483,1.685148557,10.79928041,6.408503491,2.679987499,0.000710711,0.028312956,Upregulated
dppC,dipeptide transport system permease protein DppC,5.43102459,1.12110287,9.740946311,8.688717662,3.11914327,0.000183063,0.011906578,Upregulated
ecnR,transcriptional regulatory protein,4.120672437,1.523838256,6.717506617,4.408280597,2.140216058,0.004098215,0.094298993,Upregulated
eutJ,putative ethanolamine utilization protein EutJ,6.181328647,2.359964398,10.0026929,4.238493134,2.08355145,0.001072514,0.037561551,Upregulated
eutN,ethanolamine utilization protein,2.695463093,0.7154136,4.675512586,6.535397969,2.708275091,0.003249389,0.081864131,Upregulated
fimW,fimbriae w protein,2.340842009,0.402735386,4.278948632,10.62471485,3.409352217,0.000994675,0.036101186,Upregulated
flgE,flagellar hook protein FlgE,5.288536226,0.836126142,9.740946311,11.6500918,3.542269418,6.06E-05,0.005438226,Upregulated
FQ312003_intergenic_1326592_1326802,FQ312003_intergenic_1326592_1326802,6.493100139,9.953903499,3.032296779,0.304633934,-1.714851439,0.003010233,0.078959773,Downregulated
FQ312003_intergenic_1440240_1440459,FQ312003_intergenic_1440240_1440459,15.89975076,30.08728542,1.712216095,0.056908294,-4.13521725,4.95E-12,3.16E-08,Downregulated
FQ312003_intergenic_1626124_1626306,FQ312003_intergenic_1626124_1626306,4.052680941,6.720709452,1.38465243,0.206027718,-2.279089653,0.000676647,0.02729712,Downregulated
FQ312003_intergenic_1990513_1990645,FQ312003_intergenic_1990513_1990645,3.14393483,5.760916882,0.526952778,0.091470297,-3.450552856,4.63E-05,0.004917924,Downregulated
FQ312003_intergenic_259089_259300,FQ312003_intergenic_259089_259300,3.878005202,0.842574278,6.913436125,8.205135502,3.036527159,1.99E-05,0.002542033,Upregulated
FQ312003_intergenic_2594527_2594999,FQ312003_intergenic_2594527_2594999,4.112687912,6.643548553,1.581827271,0.238099753,-2.07036197,0.000980453,0.036101186,Downregulated
FQ312003_intergenic_2992183_2993476,FQ312003_intergenic_2992183_2993476,19.20603371,29.12021651,9.291850907,0.319085914,-1.647983171,8.04E-05,0.006819573,Downregulated
FQ312003_intergenic_3242827_3243091,FQ312003_intergenic_3242827_3243091,18.28446592,30.70594166,5.862990175,0.190939924,-2.388809303,0.000845325,0.032854288,Downregulated
FQ312003_intergenic_3312211_3312835,FQ312003_intergenic_3312211_3312835,3.920294034,1.322470563,6.518117505,4.92874298,2.301219751,0.000470809,0.021904626,Upregulated
FQ312003_intergenic_4146761_4147078,FQ312003_intergenic_4146761_4147078,7.810602896,14.2409819,1.380223887,0.096919152,-3.367074411,4.58E-07,0.000185886,Downregulated
FQ312003_intergenic_4381408_4381883,FQ312003_intergenic_4381408_4381883,10.14458595,15.01770625,5.271465652,0.351016698,-1.510388435,0.000235178,0.014009604,Downregulated
FQ312003_intergenic_4836111_4836411,FQ312003_intergenic_4836111_4836411,4.317342456,1.322470563,7.31221435,5.529207646,2.467072752,0.000244954,0.014285074,Upregulated
fruB,"pts system, fructose-specific IIA/FPR component",5.483287548,2.604883734,8.361691362,3.210005595,1.682575812,0.000958464,0.036101186,Upregulated
garD,D-galactarate dehydratase,7.983166921,0.836126142,15.1302077,18.09560417,4.177567371,0.000726878,0.028777133,Upregulated
ggt,gamma-glutamyltranspeptidase precursor,6.389013539,2.316412755,10.46161432,4.516299741,2.175141239,0.004154973,0.094923998,Upregulated
gidA,glucose inhibited division protein,6.47347245,2.806251427,10.14069347,3.613608309,1.853440136,0.000126932,0.009202325,Upregulated
gph,phosphoglycolate phosphatase,6.348082587,2.162090956,10.53407422,4.872169779,2.284564407,1.43E-05,0.002020397,Upregulated
grxC,glutaredoxin 3,2.698150661,5.001951639,0.394349682,0.078839163,-3.664943725,0.001716837,0.05338106,Downregulated
hcaT,putative 3-phenylpropionate permease,4.111179597,0.718367485,7.50399171,10.44589555,3.384864278,4.49E-05,0.004850934,Upregulated
