Datasets compared,Number of DE genes,Pathways in DE gene datasets
Group 1 6h vs Group 1 0h,Total: 0,
,Up-regulated: 0,None
,Down-regulated: 0,None
Group 1 72h vs Group 1 0h,Total: 296,
,Up-regulated: 222,Chemokine signalling pathway; Toll-like receptor signalling pathway; NOD-like receptor signalling pathway
,Down-regulated: 74,None
Group 1 72h vs Group 1 6h,Total: 148,
,Up-regulated: 123,Toll-like receptor signalling pathway; NOD-like receptor signalling pathway; MAPK signalling pathway; Chemokine signalling pathway
,Down-regulated: 25,None
Group 2 6h vs Group 2 0h,Total: 0,
,Up-regulated: 0,None
,Down-regulated: 0,None
Group 2 48h vs Group 2 0h,Total: 281,
,Up-regulated: 200,Chemokine signalling pathway; Toll-like receptor signalling pathway; NOD-like receptor signalling pathway; MAPK signalling pathway glycolysis
,Down-regulated: 81,None
Group 2 48h vs Group 2 6h,Total: 148,
,Up-regulated: 106,NOD-like receptor signalling pathway; Chemokine signalling pathway
,Down-regulated: 42,None
Group 3 6h vs Group 3 0h,Total: 109,
,Up-regulated: 5,None
,Down-regulated: 104,Antigen processing and presentation
Group 3 72h vs Group 3 0h,Total: 668,
,Up-regulated: 381,NOD-like receptor signalling pathway; Chemokine signalling pathway; Glycolysis/gluconeogenesis; Apoptosis; Toll-like receptor signalling pathway; p53 signalling pathway
,Down-regulated: 287,Ribosome pathway; B cell receptor signalling pathway; Primary immunodeficiency
Group 3 72h vs Group 3 6h,Total: 308,
,Up-regulated: 243,NOD-like receptor signalling pathway; Toll-like receptor signalling pathway; Chemokine signalling pathway; Apoptosis; MAPK signalling pathway; RIG-I-like receptor signalling pathway
,Down-regulated: 65,None
